host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,amenities_count,host_experience_days
no response,0.0,0.0,False,4.0,True,True,Moss Park,43.65964,-79.367,Entire townhouse,Entire home/apt,10,4.0,8.0,350.0,28,365,0,0,0,64,104,0,0,4.78,4.93,4.58,4.96,4.9,4.57,4.77,True,0.74,56,852.0
within a few hours,1.0,0.96,True,15.0,True,True,Niagara,43.64482,-79.40897,Private room in home,Private room,1,1.0,1.0,45.0,85,1125,0,0,0,257,14,3,1,4.57,4.64,4.21,4.86,4.57,4.93,4.36,False,0.1,10,843.0
within an hour,1.0,0.9,True,1.0,True,True,Oakridge,43.69431,-79.28563,Entire guest suite,Entire home/apt,2,1.0,1.0,95.0,7,365,0,3,10,271,32,11,1,4.97,4.94,4.97,4.97,4.97,4.94,4.9,False,0.43,48,1098.0
within a few hours,1.0,0.96,True,15.0,True,True,Niagara,43.64453,-79.40736,Private room in home,Private room,1,1.0,1.0,45.0,85,1125,0,0,0,9,19,2,0,4.78,4.79,4.58,4.89,4.89,4.84,4.63,False,0.13,19,843.0
no response,0.0,0.0,False,2.0,True,True,Dufferin Grove,43.65767,-79.43242,Entire home,Entire home/apt,2,1.0,1.0,149.0,28,365,0,0,0,219,273,0,0,4.86,4.93,4.97,4.98,4.99,4.82,4.87,False,1.95,21,905.0
within a few hours,1.0,0.76,True,3.0,True,True,Little Portugal,43.6471,-79.4376,Entire home,Entire home/apt,4,2.0,2.0,300.0,4,1125,0,0,4,272,21,4,0,4.75,4.8,4.45,4.95,4.95,4.6,4.74,False,0.16,45,1112.0
within a few hours,1.0,0.81,False,19.0,True,True,Rosedale-Moore Park,43.67138,-79.38424,Entire rental unit,Entire home/apt,3,1.0,1.0,164.0,28,1100,0,14,44,319,24,1,0,4.53,4.65,4.15,4.8,4.8,4.9,4.45,False,0.18,36,730.0
within a few hours,0.67,0.91,True,2.0,True,True,Church-Yonge Corridor,43.6619,-79.37727,Private room in home,Private room,2,1.0,1.0,80.0,28,162,18,18,18,132,31,4,0,4.81,4.9,4.74,5.0,4.87,5.0,4.58,False,0.35,31,1134.0
within a few hours,0.83,0.88,True,1.0,True,True,Niagara,43.64388,-79.41011,Entire townhouse,Entire home/apt,5,3.0,3.0,359.0,4,60,0,0,0,64,142,16,0,4.96,4.92,4.92,4.98,4.97,4.98,4.94,False,1.32,59,980.0
within an hour,1.0,0.94,True,4.0,True,True,Cabbagetown-South St.James Town,43.66593,-79.37655,Entire condo,Entire home/apt,4,2.0,2.0,230.0,12,365,0,0,0,64,65,9,0,4.92,4.95,4.72,4.88,4.89,4.81,4.83,False,0.5,23,1094.0
within a few hours,1.0,0.25,False,1.0,True,True,South Riverdale,43.66406,-79.32749,Entire home,Entire home/apt,4,2.0,2.0,250.0,5,12,0,0,0,215,18,0,0,4.89,5.0,4.89,5.0,5.0,4.67,4.94,False,0.13,54,891.0
no response,0.0,0.0,False,4.0,True,True,Annex,43.67024,-79.39046,Entire condo,Entire home/apt,2,1.0,3.0,210.0,28,365,2,32,62,299,6,0,0,4.8,5.0,4.6,4.8,5.0,5.0,4.8,False,0.05,35,1145.0
a few days or more,0.0,0.0,False,3.0,True,False,High Park North,43.65703,-79.46719,Entire rental unit,Entire home/apt,2,1.0,1.0,66.0,120,1125,0,0,0,247,12,0,0,4.92,4.67,4.58,4.83,5.0,4.92,4.83,False,0.09,12,1005.0
within a day,1.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.63987,-79.39523,Entire condo,Entire home/apt,2,1.0,1.0,105.0,30,1000,0,0,0,8,39,0,0,4.58,4.74,4.68,4.71,4.74,4.91,4.79,False,0.28,41,1005.0
within an hour,1.0,1.0,True,6.0,True,True,South Parkdale,43.63737,-79.44022,Entire home,Entire home/apt,2,1.0,1.0,150.0,30,30,0,7,37,312,79,1,0,4.82,4.7,4.86,4.99,4.95,4.51,4.78,False,0.58,29,711.0
within an hour,1.0,0.71,True,3.0,True,True,Annex,43.66701,-79.40625,Entire rental unit,Entire home/apt,2,1.0,1.0,85.0,30,365,0,0,0,151,29,4,0,4.72,4.83,4.21,4.83,4.9,4.93,4.66,False,0.26,52,891.0
within a day,1.0,0.67,True,5.0,True,True,Waterfront Communities-The Island,43.63927,-79.38206,Entire condo,Entire home/apt,5,1.0,2.0,226.0,14,1125,3,11,41,131,164,11,0,4.87,4.91,4.7,4.89,4.93,4.92,4.78,False,1.32,34,1112.0
within a few hours,0.9,0.97,True,9.0,True,True,Caledonia-Fairbank,43.68238,-79.46038,Entire home,Entire home/apt,3,1.0,1.0,55.0,6,90,1,6,25,25,86,20,2,4.62,4.65,4.6,4.84,4.78,4.53,4.61,True,0.7,36,1165.0
no response,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.63942,-79.39216,Entire rental unit,Entire home/apt,2,2.0,2.0,199.0,28,31,0,0,0,0,11,0,0,4.7,4.9,3.7,5.0,4.6,5.0,4.6,False,0.1,20,1410.0
no response,0.0,0.0,False,1.0,True,True,Niagara,43.63999,-79.41465,Entire condo,Entire home/apt,2,1.0,1.0,105.0,30,182,0,0,0,0,5,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.08,26,1190.0
no response,0.0,0.0,False,1.0,True,True,Palmerston-Little Italy,43.66051,-79.42741,Entire rental unit,Entire home/apt,6,2.0,3.0,90.0,28,1125,0,0,0,0,3,0,0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,False,0.02,30,1412.0
within an hour,1.0,0.64,True,15.0,True,True,East End-Danforth,43.68519,-79.29338,Entire rental unit,Entire home/apt,7,3.0,3.0,145.0,28,1125,0,0,0,249,32,1,0,4.38,4.79,4.34,4.86,4.86,4.41,4.55,False,0.27,26,911.0
within a day,0.8,0.39,False,1.0,True,True,North St.James Town,43.67098,-79.37434,Entire home,Entire home/apt,6,2.0,3.0,264.0,4,365,10,10,39,242,24,8,0,4.63,4.88,4.78,4.92,4.63,4.75,4.88,False,0.22,59,1182.0
within an hour,1.0,0.82,True,11.0,True,True,Waterfront Communities-The Island,43.64278,-79.37985,Entire condo,Entire home/apt,2,1.0,1.0,134.0,28,365,0,20,50,325,84,2,1,4.84,4.8,4.83,4.86,4.88,4.94,4.75,False,0.69,45,1350.0
no response,0.0,0.75,True,5.0,True,True,Waterfront Communities-The Island,43.64221,-79.38061,Entire condo,Entire home/apt,2,1.0,1.0,85.0,28,1124,0,0,0,0,66,4,0,4.97,4.92,4.86,4.97,4.98,4.98,4.86,False,0.51,54,1122.0
no response,0.0,0.0,False,2.0,True,True,South Riverdale,43.66114,-79.34742,Entire home,Entire home/apt,3,2.0,2.0,115.0,28,30,0,0,0,0,7,0,0,4.86,4.83,4.83,5.0,4.83,5.0,4.83,False,0.06,15,1435.0
no response,0.0,0.0,False,2.0,True,True,Blake-Jones,43.67739,-79.33599,Private room in home,Private room,1,1.0,1.0,31.0,28,1125,0,0,0,0,37,0,0,5.0,4.97,4.78,4.97,5.0,4.94,4.91,False,0.3,28,1256.0
within an hour,1.0,1.0,False,4.0,True,True,Woodbine Corridor,43.67639,-79.31017,Private room in home,Private room,1,1.0,1.0,37.0,30,1125,1,1,4,279,19,2,0,5.0,4.95,4.89,5.0,4.95,4.84,4.95,False,0.19,41,1362.0
within an hour,1.0,1.0,False,4.0,True,True,Woodbine Corridor,43.67739,-79.31034,Private room in home,Private room,1,1.0,1.0,37.0,28,1125,0,0,0,0,9,0,0,4.89,4.89,4.89,5.0,5.0,4.44,4.89,False,0.08,18,1362.0
within an hour,1.0,1.0,True,6.0,True,True,South Parkdale,43.63557,-79.43999,Entire home,Entire home/apt,5,2.0,2.0,100.0,180,1125,0,0,0,250,67,2,0,4.76,4.65,4.71,4.97,4.95,4.67,4.72,False,0.55,33,711.0
within a few hours,0.92,0.77,False,5.0,True,True,The Beaches,43.67262,-79.30057,Entire home,Entire home/apt,6,3.0,4.0,246.0,1,1125,8,38,68,338,21,19,4,4.57,4.62,4.62,4.86,4.9,5.0,4.57,False,0.33,70,1298.0
no response,0.0,0.0,False,1.0,True,True,South Parkdale,43.63907,-79.44036,Entire rental unit,Entire home/apt,5,3.0,3.0,95.0,28,60,0,0,0,0,10,0,0,4.22,4.33,4.33,4.89,4.89,4.11,4.67,False,0.11,16,1459.0
no response,0.0,0.0,False,5.0,True,True,Waterfront Communities-The Island,43.64356,-79.3903,Entire condo,Entire home/apt,2,1.0,1.0,300.0,28,30,24,54,84,359,62,0,0,4.69,4.82,4.72,4.75,4.82,4.95,4.52,False,0.63,21,1460.0
within a day,1.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.64226,-79.40076,Entire loft,Entire home/apt,2,1.0,1.0,361.0,28,112,19,49,79,354,9,0,0,4.89,5.0,4.78,4.78,4.89,4.56,4.44,False,0.09,33,1111.0
no response,0.0,0.0,False,1.0,True,True,South Parkdale,43.63589,-79.42796,Entire rental unit,Entire home/apt,2,1.0,1.0,65.0,28,1125,0,0,0,0,3,0,0,4.0,4.33,4.0,5.0,4.67,4.33,3.67,False,0.04,8,1463.0
within a few hours,0.94,0.88,True,1.0,True,True,Danforth,43.67985,-79.34235,Entire guest suite,Entire home/apt,2,1.0,1.0,168.0,1,28,7,32,62,337,75,32,7,4.83,4.86,4.89,4.93,4.89,4.86,4.69,False,0.75,41,1312.0
no response,0.0,0.0,False,1.0,True,False,Junction Area,43.66308,-79.47795,Entire guest suite,Entire home/apt,2,1.0,1.0,120.0,28,1125,0,0,0,249,5,0,0,4.75,5.0,4.75,4.75,5.0,5.0,4.75,False,0.05,27,1005.0
within a few hours,1.0,0.96,True,15.0,True,True,University,43.66143,-79.40883,Private room in rental unit,Private room,1,1.0,1.0,55.0,85,1125,0,0,0,191,1,0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False,0.01,8,843.0
within an hour,1.0,0.0,False,6.0,True,True,Moss Park,43.65612,-79.36054,Private room in townhouse,Private room,2,1.0,1.0,60.0,28,1125,0,1,1,102,828,0,0,4.83,4.89,4.62,4.95,4.96,4.76,4.88,False,6.51,37,1318.0
within an hour,1.0,1.0,False,1.0,True,True,Morningside,43.7837,-79.20675,Entire home,Entire home/apt,8,4.0,5.0,210.0,28,100,4,34,64,339,15,0,0,4.93,4.93,4.87,5.0,5.0,4.71,4.93,False,0.13,40,1470.0
no response,0.0,0.0,False,1.0,True,True,Kensington-Chinatown,43.65667,-79.39539,Entire rental unit,Entire home/apt,2,1.0,1.0,85.0,28,365,0,0,0,0,29,0,0,4.81,4.92,4.81,4.81,4.88,4.85,4.65,False,0.24,13,1471.0
within an hour,1.0,0.64,True,15.0,True,True,East End-Danforth,43.68614,-79.29126,Entire rental unit,Entire home/apt,3,1.0,1.0,70.0,28,1125,0,0,0,159,45,0,0,4.55,4.7,4.4,4.95,4.93,4.37,4.58,False,0.4,21,911.0
within an hour,0.88,1.0,True,5.0,True,True,Waterfront Communities-The Island,43.64693,-79.39574,Entire rental unit,Entire home/apt,2,1.0,1.0,250.0,7,28,1,1,1,1,4,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.03,35,1322.0
within a few hours,1.0,0.81,False,19.0,True,True,Rosedale-Moore Park,43.67176,-79.38555,Private room in rental unit,Private room,2,1.0,1.0,89.0,28,1000,4,4,4,73,3,0,0,5.0,5.0,4.67,5.0,5.0,5.0,5.0,False,0.03,12,730.0
within a few hours,1.0,0.86,True,9.0,True,True,Flemingdon Park,43.72054,-79.33524,Private room in home,Private room,1,1.0,1.0,45.0,28,1125,0,0,0,219,36,3,1,4.17,4.57,3.97,4.66,4.46,4.4,4.43,False,0.32,13,1304.0
within a day,1.0,0.67,False,1.0,True,True,Mount Pleasant West,43.70314,-79.39612,Private room in home,Private room,1,1.0,2.0,65.0,28,90,1,1,3,3,99,3,0,4.82,4.81,4.78,4.96,4.98,4.98,4.84,False,0.84,49,1483.0
no response,0.0,0.0,False,1.0,True,True,High Park North,43.65873,-79.45336,Entire loft,Entire home/apt,2,1.0,1.0,100.0,28,31,0,0,0,0,15,0,0,5.0,5.0,4.86,4.86,4.79,4.86,4.93,True,0.13,23,1500.0
within an hour,0.9,0.98,True,2.0,True,True,Church-Yonge Corridor,43.66429,-79.383,Entire loft,Entire home/apt,2,1.0,1.0,500.0,2,1125,8,20,20,20,72,4,1,4.58,4.69,4.18,4.72,4.92,4.86,4.62,False,0.58,31,1333.0
within an hour,1.0,0.8,False,5.0,True,True,High Park-Swansea,43.65374,-79.45359,Entire rental unit,Entire home/apt,4,1.0,2.0,137.0,28,500,2,9,39,314,19,1,0,4.47,4.67,4.72,4.89,4.67,4.94,4.28,False,0.16,46,1502.0
within a few hours,1.0,0.58,True,6.0,True,True,Willowdale East,43.76127,-79.40824,Entire condo,Entire home/apt,2,1.0,1.0,185.0,30,1125,29,59,88,88,6,2,1,4.83,5.0,4.83,5.0,5.0,5.0,4.67,False,0.15,33,1334.0
within an hour,1.0,0.8,False,5.0,True,True,High Park-Swansea,43.65329,-79.45257,Entire home,Entire home/apt,7,3.0,4.0,185.0,28,730,0,6,36,311,23,1,0,4.82,4.86,4.73,4.91,4.95,4.95,4.59,False,0.22,43,1502.0
within a few hours,1.0,0.58,True,6.0,True,True,Waterfront Communities-The Island,43.64411,-79.39142,Entire condo,Entire home/apt,2,1.0,1.0,170.0,30,365,6,36,66,156,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.05,30,1334.0
within a few hours,1.0,0.58,True,6.0,True,True,Willowdale East,43.76292,-79.40878,Entire rental unit,Entire home/apt,4,2.0,3.0,240.0,30,1125,30,60,89,89,5,0,0,3.6,3.6,2.8,5.0,4.6,4.8,3.8,False,0.13,32,1334.0
within an hour,1.0,0.8,False,5.0,True,True,High Park-Swansea,43.65563,-79.45259,Entire home,Entire home/apt,5,2.0,3.0,165.0,28,1125,0,5,35,310,4,0,0,4.25,4.75,4.75,5.0,5.0,4.75,4.5,False,0.03,40,1502.0
within a few hours,1.0,0.58,True,6.0,True,True,Waterfront Communities-The Island,43.64615,-79.39275,Entire rental unit,Entire home/apt,3,1.0,1.0,164.0,30,1125,0,26,56,331,4,2,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,False,0.06,29,1334.0
within an hour,1.0,0.64,True,15.0,True,True,East End-Danforth,43.68672,-79.29328,Entire rental unit,Entire home/apt,3,1.0,1.0,61.0,28,1125,0,0,0,249,45,5,0,4.61,4.55,4.66,4.86,4.93,4.52,4.68,False,0.36,11,911.0
within a day,1.0,0.0,False,3.0,True,True,Humewood-Cedarvale,43.68657,-79.42246,Entire home,Entire home/apt,4,2.0,2.0,140.0,30,365,0,0,0,0,9,0,0,4.89,5.0,4.56,5.0,5.0,4.78,5.0,False,0.07,8,1010.0
within an hour,1.0,1.0,False,4.0,True,True,Woodbine Corridor,43.67549,-79.3104,Private room in home,Private room,1,1.0,1.0,33.0,30,1125,0,0,0,0,19,0,0,4.89,4.89,4.89,4.89,4.89,4.78,4.89,False,0.19,30,1362.0
within an hour,1.0,0.39,False,1.0,True,True,Roncesvalles,43.64147,-79.44633,Entire home,Entire home/apt,7,4.0,4.0,390.0,5,28,0,0,0,0,12,3,0,5.0,5.0,4.83,5.0,5.0,5.0,4.58,False,0.11,50,1520.0
within an hour,1.0,1.0,False,4.0,True,True,Church-Yonge Corridor,43.65469,-79.37986,Entire condo,Entire home/apt,3,1.0,1.0,356.0,28,365,30,60,90,365,8,1,1,4.88,5.0,5.0,5.0,4.86,4.86,3.71,False,0.07,59,1295.0
within an hour,1.0,0.99,True,4.0,True,True,Cabbagetown-South St.James Town,43.664642,-79.371208,Private room in home,Private room,1,1.0,1.0,88.0,3,180,0,0,0,154,69,14,5,4.93,4.9,4.94,4.93,4.91,4.91,4.85,False,0.62,30,1540.0
within an hour,1.0,0.4,False,1.0,True,True,Brookhaven-Amesbury,43.7054,-79.48584,Private room in rental unit,Private room,2,1.0,1.0,55.0,28,1125,2,25,55,330,33,0,0,4.73,4.82,4.48,4.91,4.88,4.39,4.55,False,0.27,16,1366.0
within a day,0.67,0.0,False,2.0,True,True,Waterfront Communities-The Island,43.63708,-79.39198,Entire condo,Entire home/apt,2,1.0,1.0,125.0,180,365,12,42,72,346,6,0,0,4.0,4.6,4.0,4.6,4.4,4.2,4.0,False,0.06,27,1544.0
within an hour,1.0,0.93,True,4.0,True,True,Niagara,43.64322,-79.40293,Entire loft,Entire home/apt,2,1.0,1.0,500.0,7,365,2,14,44,134,68,7,2,4.95,4.92,4.94,4.91,4.91,4.89,4.74,False,0.55,22,1117.0
within a few hours,1.0,0.0,False,2.0,True,True,Oakwood Village,43.6879,-79.43938,Entire guest suite,Entire home/apt,2,1.0,1.0,115.0,60,120,0,0,0,249,99,0,0,4.85,4.95,4.9,4.99,4.99,4.65,4.83,False,0.8,53,1372.0
within an hour,1.0,1.0,True,4.0,True,True,Moss Park,43.65802,-79.37108,Entire rental unit,Entire home/apt,2,1.0,1.0,92.0,30,1125,1,30,60,335,28,3,0,4.54,4.86,4.79,4.96,4.93,4.04,4.46,True,0.25,30,1550.0
within an hour,1.0,0.89,True,5.0,True,True,Bay Street Corridor,43.66896,-79.38671,Entire serviced apartment,Entire home/apt,5,2.0,2.0,400.0,28,1125,4,34,64,339,70,1,0,4.94,4.93,4.87,4.94,4.96,4.93,4.74,False,0.77,45,1552.0
a few days or more,0.43,0.59,False,1.0,True,True,South Riverdale,43.65719,-79.34745,Entire home,Entire home/apt,4,3.0,3.0,280.0,5,60,2,2,2,205,9,6,1,5.0,5.0,4.89,5.0,5.0,5.0,5.0,False,0.07,30,1369.0
within a few hours,1.0,0.97,True,2.0,True,True,Don Valley Village,43.77656,-79.35063,Private room in rental unit,Private room,2,1.0,1.0,55.0,1,1125,2,2,2,2,182,32,6,4.84,4.83,4.86,4.88,4.9,4.81,4.81,False,1.56,27,1268.0
no response,0.0,0.0,False,5.0,True,True,Little Portugal,43.64731,-79.43029,Entire rental unit,Entire home/apt,4,2.0,2.0,138.0,28,180,0,0,0,0,119,0,0,4.92,4.89,4.83,4.95,4.99,4.91,4.85,False,0.96,26,1393.0
within an hour,1.0,1.0,True,7.0,True,True,Junction Area,43.66672,-79.47492,Entire guest suite,Entire home/apt,2,1.0,1.0,74.0,29,1125,0,0,22,112,177,1,1,4.84,4.85,4.93,4.91,4.95,4.67,4.81,False,1.42,41,990.0
no response,0.0,0.0,False,1.0,True,False,Rosedale-Moore Park,43.67716,-79.38653,Entire home,Entire home/apt,6,4.0,4.0,420.0,28,1125,0,0,0,219,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.02,49,1555.0
no response,0.0,1.0,False,2.0,True,True,Trinity-Bellwoods,43.65131,-79.4116,Entire home,Entire home/apt,5,3.0,3.0,300.0,28,1124,0,0,0,240,76,0,0,4.95,4.93,4.92,4.93,4.96,4.88,4.84,False,0.63,36,1396.0
no response,0.0,0.0,False,1.0,True,True,High Park-Swansea,43.64366,-79.45216,Entire rental unit,Entire home/apt,2,1.0,1.0,80.0,30,180,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.02,28,1076.0
within an hour,1.0,1.0,True,3.0,True,True,Junction Area,43.66682,-79.47394,Entire rental unit,Entire home/apt,4,1.0,1.0,160.0,3,1125,0,0,0,78,114,36,4,4.82,4.88,4.73,4.94,4.92,4.92,4.81,False,2.0,17,1533.0
within a few hours,1.0,0.0,False,1.0,True,True,Willowdale East,43.76651,-79.40411,Entire rental unit,Entire home/apt,2,1.0,1.0,108.0,28,180,0,6,36,125,6,0,0,3.8,4.5,5.0,4.67,4.17,4.17,3.83,False,0.05,36,1401.0
within an hour,0.9,0.98,True,2.0,True,True,Church-Yonge Corridor,43.66414,-79.38351,Private room in condo,Private room,2,1.0,1.0,194.0,1,14,8,20,20,20,413,101,7,4.95,4.93,4.74,4.97,4.99,4.97,4.9,True,3.68,55,1333.0
no response,0.0,0.0,False,1.0,True,True,Waterfront Communities-The Island,43.63923,-79.39358,Entire rental unit,Entire home/apt,3,1.0,1.0,130.0,28,30,0,0,0,0,4,0,0,4.25,4.75,3.25,5.0,5.0,5.0,4.75,False,0.05,12,1561.0
within an hour,1.0,0.58,False,2.0,True,True,Roncesvalles,43.64264,-79.43215,Entire loft,Entire home/apt,3,1.0,1.0,389.0,3,26,21,51,81,196,57,5,2,4.93,4.91,4.82,4.93,4.98,4.85,4.82,False,0.46,49,1275.0
within a few hours,1.0,0.81,True,1.0,True,True,Waterfront Communities-The Island,43.63996,-79.39109,Entire condo,Entire home/apt,2,1.0,1.0,222.0,3,28,8,18,39,301,83,40,6,4.9,4.91,4.79,4.98,4.99,4.98,4.91,False,0.82,46,1563.0
no response,0.0,0.0,False,1.0,True,True,Palmerston-Little Italy,43.65836,-79.42479,Entire home,Entire home/apt,7,4.0,5.0,295.0,28,1125,0,0,0,131,18,0,0,4.76,4.83,4.5,4.78,4.83,4.78,4.39,False,0.15,56,1402.0
a few days or more,0.33,0.0,False,3.0,True,True,Casa Loma,43.68212,-79.40447,Private room in home,Private room,2,1.0,1.0,158.0,28,1125,30,60,90,365,91,0,0,4.91,4.86,4.84,4.95,4.95,4.89,4.84,False,0.83,29,1564.0
within a day,1.0,1.0,False,1.0,True,True,South Riverdale,43.666,-79.33684,Entire guest suite,Entire home/apt,2,1.0,1.0,80.0,30,1125,0,0,23,113,36,6,0,4.61,4.75,4.69,4.97,4.89,4.75,4.61,False,0.34,16,1698.0
no response,0.0,0.0,False,2.0,True,True,Thistletown-Beaumond Heights,43.73732,-79.5744,Private room in home,Private room,2,1.0,1.0,25.0,28,1125,0,0,0,205,23,0,0,4.71,4.86,4.43,4.95,4.95,4.29,4.86,False,0.2,17,1292.0
within a day,0.91,0.85,False,26.0,True,True,Pleasant View,43.77993,-79.32822,Private room in home,Private room,2,1.0,1.0,66.0,31,1125,7,37,67,342,3,1,0,4.0,4.33,3.67,4.67,4.67,4.0,4.33,False,0.03,16,503.0
within an hour,1.0,0.98,True,3.0,True,True,Dovercourt-Wallace Emerson-Junction,43.65851,-79.4431,Private room in home,Private room,1,1.0,1.0,92.0,1,1125,3,22,52,325,359,37,9,4.8,4.88,4.81,4.92,4.91,4.85,4.79,False,3.25,31,1576.0
within a few hours,1.0,0.0,False,3.0,True,True,Dufferin Grove,43.65883,-79.43081,Entire home,Entire home/apt,4,2.0,2.0,225.0,28,30,7,37,67,342,6,0,0,4.83,5.0,5.0,5.0,4.83,4.83,4.83,False,0.06,12,801.0
within an hour,1.0,1.0,False,4.0,True,True,Church-Yonge Corridor,43.65456,-79.37906,Entire serviced apartment,Entire home/apt,4,2.0,2.0,500.0,30,999,7,37,67,342,2,0,0,5.0,4.5,5.0,5.0,4.5,5.0,4.0,False,0.02,37,1295.0
within a day,0.8,0.83,False,4.0,True,True,Palmerston-Little Italy,43.65555,-79.42017,Entire guest suite,Entire home/apt,3,1.0,1.0,95.0,28,365,0,0,0,220,37,2,1,4.73,4.67,4.61,4.92,4.92,4.92,4.69,False,0.31,27,683.0
no response,0.0,0.25,False,5.0,True,True,Rosedale-Moore Park,43.689,-79.37799,Entire home,Entire home/apt,9,5.0,6.0,972.0,28,60,28,58,88,363,8,0,0,4.88,4.86,4.57,4.86,4.86,5.0,4.86,False,0.09,43,1578.0
within an hour,1.0,1.0,True,4.0,True,True,The Beaches,43.66715,-79.31288,Entire home,Entire home/apt,4,3.0,3.0,227.0,29,1125,0,0,0,69,6,1,0,5.0,5.0,5.0,5.0,5.0,4.83,4.83,False,0.16,35,1257.0
within a few hours,1.0,1.0,False,7.0,True,True,Moss Park,43.65696,-79.37193,Entire loft,Entire home/apt,2,1.0,2.0,260.0,28,365,7,7,7,211,27,3,0,4.93,4.89,4.74,4.96,4.96,4.74,4.7,False,0.37,40,1543.0
within a few hours,1.0,0.89,True,2.0,True,True,Annex,43.66943,-79.39085,Entire condo,Entire home/apt,1,1.0,1.0,125.0,28,1000,0,4,4,270,10,3,0,4.67,4.75,4.75,4.63,5.0,5.0,4.75,False,0.09,36,1584.0
no response,0.0,0.0,False,1.0,True,True,South Riverdale,43.66152,-79.34284,Entire rental unit,Entire home/apt,2,1.0,1.0,109.0,28,30,0,0,0,0,22,0,0,4.45,4.52,3.9,4.67,4.71,4.81,4.33,False,0.19,12,1327.0
within a few hours,1.0,0.91,True,1.0,True,True,Niagara,43.64421,-79.4044,Entire guest suite,Entire home/apt,2,1.0,1.0,159.0,2,27,4,13,37,240,546,69,6,4.91,4.89,4.88,4.96,4.97,4.95,4.83,False,4.8,35,1706.0
within an hour,1.0,0.0,False,2.0,True,True,Waterfront Communities-The Island,43.64159,-79.38115,Entire condo,Entire home/apt,4,1.0,2.0,186.0,90,120,21,41,61,326,516,0,0,4.64,4.77,4.39,4.8,4.89,4.92,4.67,False,4.64,33,1033.0
no response,0.0,0.0,False,1.0,True,True,Forest Hill South,43.6898,-79.41314,Entire condo,Entire home/apt,3,2.0,2.0,141.0,28,365,0,0,0,0,108,0,0,4.74,4.7,4.69,4.88,4.95,4.9,4.66,False,0.98,26,1589.0
within an hour,1.0,0.64,True,15.0,True,True,East End-Danforth,43.68185,-79.30506,Entire rental unit,Entire home/apt,2,1.0,1.0,75.0,28,1125,0,0,0,218,32,0,0,4.74,4.9,4.87,4.94,5.0,4.65,4.84,False,0.29,13,911.0
within a few hours,1.0,0.98,True,2.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66607,-79.42494,Entire home,Entire home/apt,4,2.0,2.0,111.0,2,90,0,0,0,58,260,24,1,4.91,4.94,4.96,4.96,4.96,4.86,4.91,False,2.32,44,1375.0
no response,0.0,0.0,False,1.0,True,True,Moss Park,43.65114,-79.36766,Private room in condo,Private room,2,1.0,1.0,105.0,30,50,17,45,46,288,135,0,0,4.89,4.89,4.93,4.89,4.92,4.85,4.84,False,1.17,26,1593.0
within a day,0.91,0.85,False,26.0,True,True,Pleasant View,43.77835,-79.33015,Private room in home,Private room,1,1.0,1.0,59.0,28,1125,7,37,67,342,5,0,0,4.8,4.8,4.6,4.75,4.8,5.0,4.25,False,0.04,37,503.0
within an hour,1.0,1.0,True,4.0,True,True,Church-Yonge Corridor,43.65474,-79.37779,Entire condo,Entire home/apt,2,1.0,1.0,113.0,28,1124,0,0,0,38,12,2,1,4.83,4.83,4.92,4.67,4.92,4.83,4.83,True,0.12,27,1598.0
within an hour,1.0,0.64,True,15.0,True,True,East End-Danforth,43.68239,-79.30521,Entire rental unit,Entire home/apt,2,1.0,1.0,75.0,28,365,4,18,48,323,30,4,1,4.55,4.62,4.66,4.9,4.93,4.28,4.48,False,0.27,11,911.0
within a day,1.0,0.55,False,5.0,True,True,South Riverdale,43.65761,-79.34879,Entire rental unit,Entire home/apt,2,1.0,2.0,125.0,30,1125,17,47,77,167,56,12,3,4.3,4.49,3.98,4.84,4.83,4.79,4.49,False,0.5,46,1735.0
no response,0.0,0.0,False,2.0,True,True,Playter Estates-Danforth,43.68219,-79.35405,Entire home,Entire home/apt,7,4.0,5.0,225.0,28,1125,0,0,0,0,6,0,0,4.5,4.83,4.5,4.83,5.0,4.83,4.83,False,0.05,16,1603.0
